2023-02-13 20:20:29.555 | WARNING  | 123145525448704 | spider.page_get.base_request:get:76 | 第 1 次使用proxy : {'http': 'http://201.218.42.202:1994', 'https': 'http://117.157.197.18:3128'} 抓取失败，错误详情：HTTPSConnectionPool(host='m.chunyuyisheng.com', port=443): Max retries exceeded with url: /m/doctor/clinic_web_914ed768e5d9c479 (Caused by ProxyError('Cannot connect to proxy.', TimeoutError('select timed out')))
2023-02-13 20:20:31.553 | WARNING  | 123145525448704 | spider.page_get.base_request:get:76 | 第 2 次使用proxy : {'http': 'http://182.253.109.100:8080', 'https': 'http://118.31.2.38:8999'} 抓取失败，错误详情：HTTPSConnectionPool(host='m.chunyuyisheng.com', port=443): Max retries exceeded with url: /m/doctor/clinic_web_914ed768e5d9c479 (Caused by SSLError(SSLError("bad handshake: SysCallError(54, 'ECONNRESET')")))
2023-02-13 20:20:32.518 | WARNING  | 123145508659200 | spider.page_get.base_request:get:76 | 第 2 次使用proxy : {'http': 'http://72.44.76.76:1994', 'https': 'http://122.155.165.191:3128'} 抓取失败，错误详情：HTTPSConnectionPool(host='m.chunyuyisheng.com', port=443): Max retries exceeded with url: /m/doctor/clinic_web_0dbda747a2132706 (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x1206a5e70>: Failed to establish a new connection: [Errno 61] Connection refused')))
2023-02-13 20:20:32.865 | WARNING  | 123145407922176 | spider.task.mapping_task.doctor_page_mapping:doctor_detail_page_status_mapping:56 | 医生 clinic_web_b404d817508e52a5 页面被反爬，稍后重新爬取
2023-02-13 20:20:32.921 | ERROR    | 123145407922176 | spider.decorators.storage_decorator:session_commit:16 | 数据插入 <class 'spider.db.dao.doctor_dao.DoctorRewardOper'> 表失败，详情错误:'NoneType' object is not iterable
2023-02-13 20:20:32.948 | WARNING  | 123145441501184 | spider.page_get.base_request:get:76 | 第 3 次使用proxy : {'http': 'http://36.138.56.214:3128', 'https': 'http://168.181.131.119:8080'} 抓取失败，错误详情：HTTPSConnectionPool(host='m.chunyuyisheng.com', port=443): Max retries exceeded with url: /m/doctor/clinic_web_1b4421229837fd76 (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x1206a40d0>, 'Connection to 168.181.131.119 timed out. (connect timeout=4)'))
2023-02-13 20:20:34.930 | WARNING  | 123145559027712 | spider.page_get.base_request:get:76 | 第 1 次使用proxy : {'http': 'http://122.155.165.191:3128', 'https': 'http://202.51.106.229:8080'} 抓取失败，错误详情：HTTPSConnectionPool(host='m.chunyuyisheng.com', port=443): Read timed out. (read timeout=4)
2023-02-13 20:20:37.770 | WARNING  | 123145407922176 | spider.task.mapping_task.doctor_page_mapping:doctor_detail_page_status_mapping:56 | 医生 clinic_web_daff77e4fd828728 页面被反爬，稍后重新爬取
2023-02-13 20:20:37.777 | ERROR    | 123145407922176 | spider.page_parse.field_parse.doctor_parse:doctor_mobile_page_html_2_doctor_comment_label:159 | 解析医生 1680c5ec25a1ed14b48e 移动端页面评价信息失败，错误详情 expected string or bytes-like object
2023-02-13 20:20:37.815 | ERROR    | 123145407922176 | spider.decorators.storage_decorator:session_commit:16 | 数据插入 <class 'spider.db.dao.doctor_dao.DoctorCommentLabelOper'> 表失败，详情错误:Class 'builtins.NoneType' is not mapped
2023-02-13 20:20:37.816 | ERROR    | 123145407922176 | spider.decorators.storage_decorator:session_commit:16 | 数据插入 <class 'spider.db.dao.doctor_dao.DoctorRewardOper'> 表失败，详情错误:'NoneType' object is not iterable
2023-02-13 20:20:39.177 | WARNING  | 123145407922176 | spider.task.mapping_task.doctor_page_mapping:doctor_detail_page_status_mapping:56 | 医生 c4980aaeeb0fe924a060 页面被反爬，稍后重新爬取
2023-02-13 20:20:39.229 | ERROR    | 123145407922176 | spider.decorators.storage_decorator:session_commit:16 | 数据插入 <class 'spider.db.dao.doctor_dao.DoctorRewardOper'> 表失败，详情错误:'NoneType' object is not iterable
2023-02-13 20:20:40.500 | WARNING  | 123145508659200 | spider.page_get.base_request:get:76 | 第 3 次使用proxy : {'http': 'http://72.44.76.76:1994', 'https': 'http://117.50.159.109:3128'} 抓取失败，错误详情：HTTPSConnectionPool(host='m.chunyuyisheng.com', port=443): Max retries exceeded with url: /m/doctor/clinic_web_0dbda747a2132706 (Caused by ProxyError('Cannot connect to proxy.', TimeoutError('timed out')))
2023-02-13 20:20:40.739 | WARNING  | 123145407922176 | spider.task.mapping_task.doctor_page_mapping:doctor_detail_page_status_mapping:56 | 医生 clinic_web_60882ce0626979d8 页面被反爬，稍后重新爬取
2023-02-13 20:20:40.747 | ERROR    | 123145407922176 | spider.page_parse.field_parse.doctor_parse:doctor_mobile_page_html_2_doctor_comment_label:159 | 解析医生 clinic_web_a8d7e183365b2224 移动端页面评价信息失败，错误详情 expected string or bytes-like object
2023-02-13 20:20:40.781 | ERROR    | 123145407922176 | spider.decorators.storage_decorator:session_commit:16 | 数据插入 <class 'spider.db.dao.doctor_dao.DoctorCommentLabelOper'> 表失败，详情错误:Class 'builtins.NoneType' is not mapped
2023-02-13 20:20:41.262 | WARNING  | 123145525448704 | spider.page_get.base_request:get:76 | 第 3 次使用proxy : {'http': 'http://122.3.41.154:8090', 'https': 'http://41.77.129.154:53281'} 抓取失败，错误详情：HTTPSConnectionPool(host='m.chunyuyisheng.com', port=443): Max retries exceeded with url: /m/doctor/clinic_web_914ed768e5d9c479 (Caused by SSLError(SSLError("bad handshake: SysCallError(-1, 'Unexpected EOF')")))
2023-02-13 20:20:42.522 | WARNING  | 123145559027712 | spider.page_get.base_request:get:76 | 第 2 次使用proxy : {'http': 'http://86.110.27.165:3128', 'https': 'http://104.223.135.178:10000'} 抓取失败，错误详情：HTTPSConnectionPool(host='m.chunyuyisheng.com', port=443): Max retries exceeded with url: /m/doctor/b64bf48e7b3159ceccac (Caused by ProxyError('Cannot connect to proxy.', TimeoutError('timed out')))
2023-02-13 20:20:42.725 | WARNING  | 123145508659200 | spider.page_get.base_request:get:76 | 第 4 次使用proxy : {'http': 'http://124.243.11.41:8000', 'https': 'http://124.243.11.41:8000'} 抓取失败，错误详情：HTTPSConnectionPool(host='m.chunyuyisheng.com', port=443): Max retries exceeded with url: /m/doctor/clinic_web_0dbda747a2132706 (Caused by ProxyError('Cannot connect to proxy.', OSError('Tunnel connection failed: 426 Upgrade Required')))
2023-02-13 20:20:42.781 | WARNING  | 123145407922176 | spider.task.mapping_task.doctor_page_mapping:doctor_detail_page_status_mapping:56 | 医生 d7b91779166ac915763a 页面被反爬，稍后重新爬取
2023-02-13 20:20:42.855 | ERROR    | 123145407922176 | spider.decorators.storage_decorator:session_commit:16 | 数据插入 <class 'spider.db.dao.doctor_dao.DoctorRewardOper'> 表失败，详情错误:'NoneType' object is not iterable
2023-02-13 20:20:43.893 | WARNING  | 123145407922176 | spider.task.mapping_task.doctor_page_mapping:doctor_detail_page_status_mapping:56 | 医生 7685af5adedb868c04ed 页面被反爬，稍后重新爬取
2023-02-13 20:20:44.665 | WARNING  | 123145525448704 | spider.task.mapping_task.doctor_page_mapping:doctor_detail_page_status_mapping:56 | 医生 clinic_web_914ed768e5d9c479 页面被反爬，稍后重新爬取
2023-02-13 20:20:44.673 | ERROR    | 123145525448704 | spider.page_parse.field_parse.doctor_parse:doctor_mobile_page_html_2_doctor_comment_label:159 | 解析医生 clinic_web_1fa84045298906a3 移动端页面评价信息失败，错误详情 expected string or bytes-like object
2023-02-13 20:20:44.714 | ERROR    | 123145525448704 | spider.decorators.storage_decorator:session_commit:16 | 数据插入 <class 'spider.db.dao.doctor_dao.DoctorCommentLabelOper'> 表失败，详情错误:Class 'builtins.NoneType' is not mapped
2023-02-13 20:20:45.645 | WARNING  | 123145407922176 | spider.task.mapping_task.doctor_page_mapping:doctor_detail_page_status_mapping:56 | 医生 clinic_web_6db7786be7abc336 页面被反爬，稍后重新爬取
2023-02-13 20:20:45.695 | ERROR    | 123145407922176 | spider.decorators.storage_decorator:session_commit:16 | 数据插入 <class 'spider.db.dao.doctor_dao.DoctorRewardOper'> 表失败，详情错误:'NoneType' object is not iterable
2023-02-13 20:20:46.171 | WARNING  | 123145525448704 | spider.task.mapping_task.doctor_page_mapping:doctor_detail_page_status_mapping:56 | 医生 clinic_web_8bdfcacfda051a5b 页面被反爬，稍后重新爬取
2023-02-13 20:20:46.178 | ERROR    | 123145525448704 | spider.page_parse.field_parse.doctor_parse:doctor_mobile_page_html_2_doctor_comment_label:159 | 解析医生 clinic_web_34e738ecf3a6c2b4 移动端页面评价信息失败，错误详情 expected string or bytes-like object
2023-02-13 20:20:46.212 | ERROR    | 123145525448704 | spider.decorators.storage_decorator:session_commit:16 | 数据插入 <class 'spider.db.dao.doctor_dao.DoctorCommentLabelOper'> 表失败，详情错误:Class 'builtins.NoneType' is not mapped
